id,name,description,material_category_id,alternative_names,scientific_name,distribution,variation_name,custom_id,version,is_verified,source,ingredients,created_at,updated_at,created_by
3000,Alumina,"Material from Idemat 2025 dataset - ",63,Alumina,,,,40c29be9-d418-474d-9601-052780269a17,1,false,Idemat 2025,,2025-07-29 14:48:29.186864,2025-07-29 14:48:29.186868,
3001,Boron Carbide,"Material from Idemat 2025 dataset - ",2,Boron Carbide,,,,25f21c9f-2a2e-4749-a43b-295c26abd102,1,false,Idemat 2025,,2025-07-29 14:48:29.613187,2025-07-29 14:48:29.613196,
3002,Germanium,"Material from Idemat 2025 dataset - ",2,Germanium,,,,08d14d45-c486-459b-9120-21fb881fce08,1,false,Idemat 2025,,2025-07-29 14:48:30.051861,2025-07-29 14:48:30.051867,
3003,Glaze (in addition to Porcelain and Stoneware),"Material from Idemat 2025 dataset - ",2,Glaze (in addition to Porcelain and Stoneware),,,,d244771b-b343-48f3-8156-ece8cf0296c3,1,false,Idemat 2025,,2025-07-29 14:48:30.494489,2025-07-29 14:48:30.494497,
3004,Porcelain,"Material from Idemat 2025 dataset - ",2,Porcelain,,,,506983cb-04f7-421e-a558-340eb9701525,1,false,Idemat 2025,,2025-07-29 14:48:30.950152,2025-07-29 14:48:30.950159,
3005,PZT Piezo-electric ceramic,"Material from Idemat 2025 dataset - ",2,PZT Piezo-electric ceramic,,,,293604f5-bce4-4d25-935f-66fe0a2202bd,1,false,Idemat 2025,,2025-07-29 14:48:31.425636,2025-07-29 14:48:31.425648,
3006,Silicon (purified) for electronics and PV cells,"Material from Idemat 2025 dataset - ",2,Silicon (purified) for electronics and PV cells,,,,c522d4ab-e829-4d31-a878-a3ba5f1cc5da,1,false,Idemat 2025,,2025-07-29 14:48:31.917139,2025-07-29 14:48:31.917143,
3007,Silicon carbide,"Material from Idemat 2025 dataset - ",2,Silicon carbide,,,,d91e3282-e04e-4a35-a263-a088c9cf33b7,1,false,Idemat 2025,,2025-07-29 14:48:32.403499,2025-07-29 14:48:32.403505,
3008,Silicon Nitride,"Material from Idemat 2025 dataset - ",2,Silicon Nitride,,,,6acbbfd2-c7da-422a-b001-3fc04cb4eaca,1,false,Idemat 2025,,2025-07-29 14:48:32.916035,2025-07-29 14:48:32.916045,
3009,Stoneware,"Material from Idemat 2025 dataset - ",2,Stoneware,,,,bdb4b0fa-f21b-4749-b8ab-4df58a86ec27,1,false,Idemat 2025,,2025-07-29 14:48:33.394922,2025-07-29 14:48:33.394931,
