slug,name,unit,data_type,category_id,id,created_by,alternative_name
acoustic_absorption,Acoustic absorption,%,number,1,1,,
acoustic_damping,Acoustic damping,%,number,1,2,,
acoustic_impedance,Acoustic impedance,"rayl, N·s/m³",number,1,3,,
acoustic_reflection,Acoustic reflection,%,number,1,4,,
acoustic_resonance_frequency,Resonance frequency,"Hz, kHz",number,1,5,,
acoustic_transmission,Acoustic transmission,%,number,1,6,,
acoustic_velocity,Acoustic velocity,"m/s, km/h",number,1,7,,
atomic_arrangement,Atomic Arrangement,,option,2,8,,
atomic_composition_phase,Composition Phase,,option,2,9,,
atomic_crystal_structure,Crystal Structure,,option,2,10,,
atomic_electron_affinity,Electron Affinity,,number,2,11,,
atomic_electronegativity,Electron Negativity,,number,2,12,,
atomic_ionization_energy,Ionization Energy,,number,2,13,,
atomic_mass,Atomic Mass,,number,2,14,,
atomic_nuclear_decay_modes,Nuclear Decay Modes,,number,2,15,,
atomic_nuclear_half_life,Nuclear Half-Life,,number,2,16,,
atomic_nuclear_isotopes,Nuclear Isotopes,,number,2,17,,
atomic_nuclear_stability,Nuclear Stability,,number,2,18,,
atomic_number,Atomic Number,,number,2,19,,
atomic_valence_electrons,Valence Electrons,,number,2,20,,
chemical_corrosion_resistance,Corrosion Resistance,,option,3,21,,
chemical_oxidation_resistance,Oxidation Resistance,,option,3,22,,
chemical_stability,Chemical Stability,,option,3,23,,
chemical_water_resistance,Water resistance,,option,3,24,,
circularity_average_lifespan,Average Lifespan,years,number,4,25,,
circularity_biodegradability,Biodegradability,years,number,4,26,,
circularity_disposal,Disposal,,option,4,27,,
circularity_durability_estimate,Durability Estimate,years,number,4,28,,
circularity_energy_recovery,Energy Recovery,MJ/kg,number,4,29,,
circularity_environmental_stability,Environmental Stability,%,number,4,30,,
circularity_landfill_space,Landfill Space,m3,number,4,31,,
circularity_recycle_probability,Recycle Probability,%,number,4,32,,
circularity_recycle_value,Recycle Value,,option,4,33,,
circularity_recycling_loops,Recycling Loops,,number,4,34,,
circularity_recycling_type,Recycling Type,,option,4,35,,
circularity_regrowth_time,Regrowth Time,years,number,4,36,,
circularity_repairability,Repairability,%,number,4,37,,
circularity_scarcity_level,Scarcity Level,tons available,number,4,38,,
circularity_source,source,,option,4,39,,
circularity_source_composition,Source Composition,,group,4,40,,
circularity_toxicity,Toxicity,%,number,4,41,,
electric_conductivity,Electric conductivity,S/m,number,5,42,,
electric_dielectric_strength,Dielectric strength,S,number,5,43,,
electric_resistance,Electric resistance,Ohm,number,5,44,,
electrical_permittivity,Permittivity,F,number,5,45,,
general_csv,CSV File,,file,6,46,,
general_doc,DOC Document,,file,6,47,,
general_json,JSON File,,file,6,48,,
general_material_configuration,Configuration,,option,6,49,,
general_mi_u3m,MI U3M File,,file,6,50,,
general_pdf,PDF Document,,file,6,51,,
general_xml,XML File,,file,6,52,,
general_zip,ZIP Archive,,file,6,53,,
haptic_compliance,Compliance,%,number,7,54,,
haptic_friction_coefficient,Friction coefficient,%,number,7,55,,
haptic_softness,Haptic softness,%,number,7,56,,
haptic_stickslip_behavior,Stick-slip behavior,%,number,7,57,,
haptic_surface_texture,Surface texture,,option,7,58,,
haptic_temperature_sensation,Temperature sensation,%,number,7,59,,
haptic_vibration_response,Vibration response,%,number,7,60,,
haptic_weight_sensation,Weight sensation,%,number,7,61,,
identification_alternative_name,alternative material name,,text,8,62,,
identification_common_name,Common Name(s),,text,8,63,,
identification_distribution,Distribution,,text,8,64,,
identification_ingredients,Ingredients,,post_relationship,8,65,,
identification_material_custom_id,Custom ID,,text,8,66,,
identification_scientific_name,Scientific Name,,text,8,67,,
identification_variation,Variation,,text,8,68,,
identification_verified,Verified,,select,8,69,,
identification_version,Version,,number,8,70,,
image,Primary Image,,image,6,71,,
image_secondary,Secondary Image,,image,6,72,,
impact_certificate_names,Certificate Names,,text,9,73,,
impact_co2e,CO2e Kg,"kg/kg, g/kg, t/t, kg, t, m3, l, m2, kg/ha, ppm, ppb, t/ha, t/person, year",number,9,74,,
impact_co2e_source_other,Other CO2e Source,,text,9,75,,
impact_ecocost,Ecocost,€,number,9,76,,
impact_ecocost_source_other,Other Ecocost Source,,text,9,77,,
impact_mitigation_certificate,Mitigation Certificate,,file,9,78,,
impact_voc_emition,VOC emition,%,number,9,79,,
magnetic_coercivity,Magnetic coercivity,Oe,number,10,80,,
magnetic_permeability,Magnetic permeability,H/m,number,10,81,,
magnetic_remanence,Magnetic remanence,Oe,number,10,82,,
manufacturing_castability,castability,%,number,11,83,,
manufacturing_cost,Cost,$,number,11,84,,
manufacturing_formability,formability,%,number,11,85,,
manufacturing_machinability,Machinability,%,number,11,86,,
manufacturing_malleability,malleability,%,number,11,87,,
manufacturing_mould_shrinkage,Mould Shrinkage,%,number,11,88,,
manufacturing_processing_temperature,Processing Temperature,°C,number,11,89,,
manufacturing_weldability,weldability,%,number,11,90,,
market_price_modifiers,Price modifiers,%,number,12,91,,
market_product_certification,Certification,,file,12,92,,
market_product_description,Description,,textarea,12,93,,
market_product_notes,Additional Notes,,wysiwyg,12,94,,
market_production_volume,Production Volume,tons/year,number,12,95,,
market_suppliers,Suppliers,,text,12,96,,
mechanical_anisotropic_shrinkage_radial,Shrinkage: Radial,%,number,13,97,,
mechanical_anisotropic_shrinkage_tangential,Shrinkage: Tangential,%,number,13,98,,
mechanical_anisotropic_shrinkage_volumetric,Shrinkage: Volumetric,%,number,13,99,,
mechanical_compressive_strength,Compressive Strength,"MPa, psi",number,13,100,,
mechanical_crushing_strength,Crushing Strength,"psi, MPa",number,13,101,,
mechanical_density,Density,"kg/m3, g/cm3, g/mm3, g/m3",number,13,102,,
mechanical_dried_weight,Average Dried Weight,"lb/ft³, kg/m³",number,13,103,,
mechanical_e_modulus,E-modulus,"GPa, MPa, TPa, Pa, Mpsi, ksi, psi",number,13,104,,
mechanical_elongation,Elongation at Break,%,number,13,105,,
mechanical_flexural_modulus,Flexural Modulus,GPa,number,13,106,,
mechanical_flexural_strength,Flexural Strength,MPa,number,13,107,,
mechanical_fracture_toughness,Fracture toughness,,slider,13,108,,
mechanical_glass_hardness,Hardness (Glass),"HK, HV, Mohs",number,13,109,,
mechanical_hardness_rockwell,Hardness (Rockwell),R-Scale,number,13,110,,
